Name,ClusteringCoefficient,Eccentricity,NumberOfEdges,BetweennessCentrality,ClosenessCentrality,Degree,Highest Freq Group Number
Q24.8,0.09412693794422046,3,491,0.035844350678690476,0.5997557003257329,491,3
C38.0,0.4339622641509434,3,107,0.0010512559747800619,0.5175685172171469,107,3
Q21.1,0.2140077821011673,3,258,0.005612048499415681,0.5471768202080238,258,3
Q25.0,0.2795031055900621,3,161,0.002335120916730227,0.5249465431218817,161,3
Z01.7,0.02207630282727391,2,1324,0.4845834493323275,0.908138101109741,1324,3
Q20.1,0.4835423197492163,3,88,0.00034505506307960126,0.5096885813148789,88,3
I49.8,0.05958174509944941,2,708,0.07162348099373647,0.6581769436997319,708,3
Q21.2,0.5164556962025316,3,80,0.00010587702182783005,0.5079310344827587,80,3
Q27.8,0.7095238095238096,3,36,2.1006816013382488e-05,0.49662845583277143,36,3
R57.0,0.2416514875531269,3,244,0.004738030525578004,0.5368075801749271,244,3
Q22.4,0.5721311475409836,3,61,5.886841906467743e-05,0.5047978067169294,61,3
Q24.0,0.6305882352941177,3,51,6.311405801526544e-05,0.502902014339365,51,3
Q20.6,0.6888888888888889,3,36,1.5991927060206525e-05,0.4949596774193548,36,3
Q26.2,0.44240506329113927,3,80,0.0005391601635034869,0.5093360995850622,80,3
Q25.5,0.5072261072261073,3,66,8.433475143313613e-05,0.5037619699042407,66,3
Q22.8,0.4029055044648807,3,123,0.0006655417217203115,0.518114667604643,123,3
Q23.8,0.7464387464387464,3,27,0.00011499724615678296,0.4949596774193548,27,3
Q23.2,0.6933797909407665,3,42,0.00011627972207487564,0.4993220338983051,42,3
Q25.2,1.0,3,4,0.0,0.3867156734050932,4,3
I46.1,0.170292251318259,3,335,0.015994091695134726,0.563719862227325,335,3
Q20.3,0.5272072072072073,3,75,9.342365254588586e-05,0.5077559462254395,75,3
Q21.0,0.2363566116101613,3,204,0.002665657691537629,0.5362213323625774,204,3
Q24.3,0.5896174863387978,3,61,7.152905320008609e-05,0.5037619699042407,61,3
Q23.3,0.3893805309734513,3,113,0.0008523219716922331,0.5157563025210085,113,3
Q22.2,0.593939393939394,3,66,4.484889583654558e-05,0.5053173241852487,66,3
Q23.0,0.3930758655168104,3,127,0.0006047597966732999,0.5197600564573042,127,3
Q24.6,0.6464237516869096,3,39,4.751917019037979e-05,0.49881476464612257,39,3
Q22.1,0.457558790593505,3,95,0.00024358013065220487,0.5143156424581006,95,3
Z45.0,0.3069345941686367,3,189,0.002455597731815324,0.5338890902500906,189,3
Q22.0,0.49657657657657656,3,75,0.0003342128181633438,0.5070567986230636,75,3
Y83.1,0.1794620103822558,3,326,0.009190913041857629,0.5615707205489897,326,3
Q25.4,0.41369351002378524,3,109,0.0006927835204836883,0.5173867228661749,109,3
Q25.1,0.3650648360030511,3,115,0.0012665275985695441,0.5188446636139485,115,3
Q21.3,0.34746079163554894,3,104,0.0006733472514829257,0.5152151101783841,104,3
Q25.6,0.5511387163561077,3,70,0.00014799669795215352,0.5065337001375516,70,3
J12.9,0.8181818181818182,3,11,1.2386748848973476e-06,0.49116372124041346,11,2
Z03.5,0.296045197740113,3,60,0.001650638477586519,0.5032456440040998,60,2
Q22.6,0.8302521008403362,3,35,8.57233866436325e-06,0.49595959595959593,35,3
I27.0,0.1904176904176904,2,297,0.009171078932692929,0.5560588901472253,297,3
I50.9,0.07255659020364903,2,630,0.04997065847996747,0.6360103626943006,630,3
J06.9,0.4429378531073446,3,60,0.0001490213578993209,0.5084570245081118,60,2
N17.9,0.16660901648795112,3,295,0.009612763410850886,0.555220505088579,295,3
I27.2,0.221861973135711,3,255,0.004431403011490623,0.5471768202080238,255,3
Q24.2,0.6645161290322581,3,31,1.6036596372410945e-05,0.49646107178968657,31,3
I82.2,0.6252100840336134,3,35,2.499688244738583e-05,0.5010204081632653,35,2
Q25.7,0.5717514124293785,3,60,9.700581037177336e-05,0.5022161609273781,60,3
I28.8,0.6534391534391535,3,28,7.818560053542627e-06,0.4947934161907961,28,3
T82.5,0.6144927536231884,3,46,4.399097896362078e-05,0.5020449897750511,46,3
T82.8,0.4016774193548387,3,125,0.0005311467317791773,0.521600566572238,125,3
I74.5,0.7492877492877493,3,27,5.746848338879878e-06,0.49713128585892674,27,3
Q20.0,0.6632653061224489,3,49,4.166422775553012e-05,0.5006798096532971,49,3
M30.3,0.6796536796536796,3,22,6.559534885878396e-06,0.49330207635632956,22,2
I77.6,0.4017094017094017,3,27,5.637317749715207e-05,0.4956258411843876,27,3
Q20.5,0.7333333333333333,3,40,8.509938199063881e-06,0.49763513513513513,40,3
Q24.4,0.5625,3,65,7.491272363933165e-05,0.5051440329218106,65,3
Q23.4,0.6787878787878788,3,45,0.00011028202153371878,0.4996607869742198,45,3
E03.1,0.8333333333333334,3,9,1.5888339736278202e-06,0.4869421487603306,9,2
A41.9,0.2354698795180723,3,250,0.0077795552802806004,0.5457576880326047,250,3
Q60.5,0.6,3,15,2.4738082798499298e-05,0.491,15,2
I48.X,0.13886812249983604,3,391,0.015839956092623633,0.5762910798122066,391,3
Q26.1,0.6845513413506013,3,47,4.388176354470347e-05,0.4972991222147198,47,3
Q23.1,0.3091060985797828,3,190,0.0019631805758139518,0.5338890902500906,190,3
I50.0,0.34573119188503804,3,169,0.001242901007416287,0.5298561151079136,169,3
I49.1,0.7156448202959831,3,44,1.3618301154665088e-05,0.5020449897750511,44,3
Q22.5,0.5349896480331263,3,70,0.00034558139927235327,0.5081062435322525,70,3
J98.1,0.6320346320346321,3,22,5.8834659873133895e-06,0.4916555407209613,22,3
Q20.8,0.6234817813765182,3,39,8.548476830751224e-05,0.4972991222147198,39,3
Q89.3,0.6326530612244898,3,49,4.151486648512367e-05,0.5039343140608964,49,3
Q25.3,0.6426829268292683,3,41,2.3733094344341694e-05,0.5,41,3
I44.2,0.35179115634523606,3,187,0.0015519729869374413,0.5335023542194857,187,3
Q36.9,1.0,3,4,0.0,0.47731691510045365,4,3
I33.0,0.3415245388096067,3,170,0.0015279212690814646,0.5298561151079136,170,2
Q35.9,0.7619047619047619,3,7,8.550674913367206e-06,0.4859782250082481,7,2
Q79.6,0.75,3,8,4.627061244507491e-06,0.48342632097144733,8,3
I45.1,0.27179429765636665,3,232,0.0026051358070049227,0.5419426048565121,232,3
T82.1,0.4464988198269079,3,124,0.0004035998102295774,0.5188446636139485,124,3
S39.9,0.8888888888888888,3,9,2.384768388190929e-07,0.4888815134417524,9,2
Q96.9,0.7564102564102564,3,13,8.615068474185196e-06,0.49083638787070977,13,2
Q22.3,0.8,3,20,3.4521258420572314e-06,0.48953140578265203,20,3
Q28.1,1.0,3,9,0.0,0.48678122934567086,9,2
I49.3,0.7116402116402116,3,28,8.454254942631436e-06,0.4967959527824621,28,3
R57.8,0.4879551820728291,3,85,0.0006570464355783515,0.4793361535958347,85,3
Z95.8,0.3157391927394316,3,159,0.001256807670000884,0.5277678251522752,159,3
J21.9,0.9642857142857143,3,8,3.416297433240082e-08,0.48726430697982137,8,2
Q24.1,0.6381461675579323,3,34,3.889707382758892e-05,0.49746707193515705,34,3
Q24.5,0.5016806722689076,3,85,0.00014098937619032897,0.5105719237435009,85,3
I31.3,0.25460829493087556,3,217,0.0031004661651225637,0.5389681668496158,217,3
T81.1,0.7489177489177489,3,22,0.0001876255278947734,0.4952925353059852,22,2
I49.9,0.4787406686140863,3,79,0.00026061110445963864,0.5093360995850622,79,3
I47.1,0.31796690307328607,3,189,0.0014893885070643381,0.533695652173913,189,3
R57.1,0.42419726324346296,3,122,0.0013081971313678245,0.510748959778086,122,3
Q20.4,0.591919191919192,3,55,5.91804474191645e-05,0.5008500510030602,55,3
Z95.5,0.32843633907463693,3,189,0.0016845294872462277,0.5335023542194857,189,3
P28.1,1.0,3,6,0.0,0.4840617811370358,6,2
I51.3,0.4591036414565826,3,120,0.0005087855403430127,0.5201271186440678,120,3
J18.9,0.2672985781990521,3,211,0.0037190730689616457,0.5381804895871392,211,3
G41.0,0.6593406593406593,3,14,7.757018367787777e-06,0.4929718875502008,14,2
I50.1,0.4322096456692913,3,128,0.0005256305958389724,0.5219702338766832,128,3
Q85.1,0.7142857142857143,3,7,1.0830319843646683e-06,0.4831092161364382,7,2
Q90.9,0.6097560975609756,3,42,3.861789196629483e-05,0.49898373983739835,42,3
C22.2,1.0,3,4,0.0,0.4824762528660334,4,2
D47.1,0.7619047619047619,3,7,1.358277267484937e-06,0.48501810997695094,7,2
J85.1,0.8916666666666667,3,16,5.455630003940353e-07,0.4941294867494129,16,2
G93.1,0.76,3,26,5.989488106402716e-06,0.49898373983739835,26,2
I97.1,0.5367989056087551,3,86,0.0005561383625354675,0.5121696801112656,86,3
C76.5,1.0,3,2,0.0,0.4818449460255152,2,2
Q22.9,0.782608695652174,3,24,2.078803265694764e-06,0.4929718875502008,24,3
Q50.1,1.0,3,5,0.0,0.48216039279869066,5,2
J90.X,0.35704494625207417,3,167,0.0013558522793906012,0.5294751976994968,167,3
B96.0,0,4,1,0.0,0.3348488292793817,1,3
Q26.8,0.6924731182795699,3,31,1.623246783229729e-05,0.5006798096532971,31,3
T81.5,0.4084084084084084,3,37,0.0001930318711208358,0.5003396739130435,37,2
Q87.8,0.7090909090909091,3,11,1.6700558274884914e-06,0.4901830282861897,11,2
P28.4,0.9777777777777777,3,10,2.4273692288811107e-08,0.48645970937912814,10,2
D15.1,0.6764705882352942,3,17,1.1495923572429234e-05,0.4954591321897074,17,2
I51.2,0.8214285714285714,3,8,2.0012536152752078e-07,0.485497692814766,8,2
E86.X,0.4901185770750988,3,23,1.4444893509781864e-05,0.4937981897418706,23,3
Z50.9,0.9333333333333333,3,6,2.3060007674370557e-08,0.4835850295469468,6,2
Q21.4,0.8104838709677419,3,32,3.4713076210639405e-06,0.4934673366834171,32,3
Q26.4,0.6283391405342624,3,42,5.609167130681199e-05,0.49797160243407707,42,3
J43.9,0.6903225806451613,3,31,3.092976518011665e-05,0.498645903859174,31,3
Q26.3,0.603265306122449,3,50,4.457868531227377e-05,0.5008500510030602,50,3
Z95.2,0.27556758127933034,3,218,0.0029028957535683054,0.5395604395604395,218,3
Q39.0,1.0,3,4,0.0,0.48200261780104714,4,2
I42.4,0.6370370370370371,3,55,5.165397582867505e-05,0.5042793563847997,55,3
A08.3,1.0,3,4,0.0,0.485497692814766,4,2
P54.8,1.0,4,3,0.0,0.37730532786885246,3,3
Q44.7,1.0,3,4,0.0,0.485497692814766,4,2
J94.0,0.8857142857142857,3,15,3.460141060701089e-07,0.488395225464191,15,2
N39.0,0.2419399283549187,3,191,0.002812138779314522,0.5342763873775843,191,3
I47.0,0.8095238095238095,3,7,3.259698738997504e-07,0.4874255459960291,7,2
I21.1,0.31795276546657764,3,182,0.0021054337729036186,0.5323455005421034,182,3
I71.2,0.42568757620918574,3,122,0.0005438100838053504,0.5208628005657708,122,3
I26.9,0.49696969696969695,3,66,0.0007628216419185266,0.5077559462254395,66,3
R50.9,0.5578947368421052,3,20,2.4112055533746745e-05,0.49696356275303644,20,2
Q87.4,0.4500226142017187,3,67,0.00023726370135288298,0.5074061315880124,67,3
T81.4,0.47478070175438597,3,96,0.00021488376896129007,0.5161177295024527,96,3
J86.0,0.4901185770750988,3,23,7.470837261981595e-05,0.49595959595959593,23,2
Z45.2,0.39776035834266515,3,95,0.0004355824463434264,0.5153953813855843,95,2
I21.0,0.3041862899005756,3,196,0.0020585674800459243,0.5350526698147475,196,3
I64.X,0.3065858824688439,3,202,0.0023161725501335073,0.5366120218579234,202,3
P36.1,1.0,4,4,0.0,0.37730532786885246,4,3
I42.1,0.5531284709366902,3,74,0.0002533446897261174,0.5111034004163775,74,3
P23.6,1.0,4,3,0.0,0.38071853192039284,3,3
J00.X,0.7272727272727273,3,12,0.00020930873400034478,0.4905094905094905,12,2
Q25.8,0.8583333333333333,3,16,1.4019044202188915e-06,0.49001996007984033,16,3
I65.2,0.5348200312989045,3,72,0.0001563390265802399,0.5112808052759459,72,3
Z45.8,0.6704545454545454,3,33,2.5113477231829194e-05,0.502902014339365,33,2
I40.0,0.8007246376811594,3,24,6.224940077459427e-06,0.4952925353059852,24,2
I87.1,0.5420420420420421,3,37,3.550330562972045e-05,0.49949135300101727,37,2
Q20.2,0.84,3,25,1.7722339480576891e-06,0.4928069588491134,25,3
Q65.1,0.9285714285714286,3,8,4.578266936395408e-08,0.4835850295469468,8,2
I49.5,0.4116161616161616,3,144,0.0009696365154217718,0.524759529747061,144,3
Z45.9,0.3128778065630397,3,193,0.0022940441492228496,0.5342763873775843,193,3
I42.3,0.6581196581196581,3,27,3.1272425075070874e-05,0.49629380053908356,27,2
I44.0,0.37243194658448897,3,177,0.0015626297622332792,0.5313852813852814,177,3
I47.2,0.4251234740471531,3,147,0.0006791153936246727,0.5255083838744202,147,3
Z45.5,1.0,3,4,0.0,0.4818449460255152,4,2
J14.X,0.7485380116959064,3,19,2.1935030590430077e-06,0.49595959595959593,19,2
G40.3,0.8,3,5,7.379202455798577e-07,0.4826343381389253,5,3
Z03.3,1.0,3,3,0.0,0.48200261780104714,3,2
P36.4,1.0,4,4,0.0,0.37730532786885246,4,3
Z53.0,0.6818181818181818,3,12,3.431396057854122e-06,0.49181969949916526,12,2
Q87.1,0.6709677419354839,3,31,9.507217155893096e-05,0.49746707193515705,31,3
G90.9,0.4151967435549525,3,67,0.00021287336070482035,0.5044520547945206,67,3
I35.0,0.22253386454183266,3,251,0.0043460821189962055,0.5457576880326047,251,3
Z95.0,0.493744787322769,3,110,0.0002603398613950764,0.517023517023517,110,3
I10.X,0.08537626310173853,2,565,0.03950614841116604,0.618647627047459,565,3
P11.3,1.0,3,4,0.0,0.485497692814766,4,2
I45.6,0.46575787082116193,3,79,0.00047278388190902834,0.5112808052759459,79,3
K04.7,0.8055555555555556,3,9,2.6122364052583003e-07,0.4901830282861897,9,2
Q75.0,0.9333333333333333,3,6,1.3177147242497458e-07,0.48326771653543305,6,2
N25.8,0.535632183908046,3,30,3.758025473437289e-05,0.4956258411843876,30,3
A08.5,1.0,3,4,0.0,0.4046703296703297,4,3
J38.0,0.9523809523809523,3,7,2.8825009592963193e-08,0.4871031746031746,7,2
I31.9,0.3999430280586811,3,119,0.0010094145889044108,0.5199435227673844,119,3
Q33.2,0.9722222222222222,3,9,1.4323047604229955e-07,0.4896941489361702,9,2
I42.0,0.20565796210957502,3,280,0.00670205173809638,0.5523059617547806,280,3
I45.8,0.6585695006747638,3,39,2.1946007116639868e-05,0.5020449897750511,39,3
G81.9,0.7727272727272727,3,12,3.3610859999531908e-06,0.49116372124041346,12,2
I44.3,0.5497810774795355,3,103,0.0001625162680371168,0.515034965034965,103,3
T82.7,0.5734767025089605,3,63,0.000266069894142693,0.5095122794880664,63,3
J98.6,0.7133333333333334,3,25,5.8503030754386334e-06,0.4967959527824621,25,2
J02.9,0.8181818181818182,3,12,1.142988124275909e-06,0.4896941489361702,12,2
Q87.2,0.9166666666666666,3,9,1.2519319552596113e-07,0.48807157057654077,9,2
K21.9,0.7426900584795322,3,19,5.440215272901888e-06,0.4972991222147198,19,2
L92.9,1.0,3,4,0.0,0.485497692814766,4,2
L92.8,0.8095238095238095,3,15,1.3525261235402494e-06,0.4942953020134228,15,2
I30.1,0.725,3,16,5.510517807722848e-06,0.49247743229689067,16,2
Z49.2,0.19117012089810018,3,193,0.0031686670631593783,0.533695652173913,193,3
Q42.0,1.0,3,4,0.0,0.4859782250082481,4,2
I27.1,0.8611111111111112,3,9,1.7717269649484324e-07,0.4840617811370358,9,2
J85.3,0.7118794326241135,3,48,0.00014947398191243914,0.5047978067169294,48,3
I69.4,0.5295375568029939,3,87,0.00016074189922927586,0.5139567341242149,87,3
Z49.X,0.8727272727272727,3,11,3.8219115139557815e-07,0.4888815134417524,11,2
I4.1,1.0,3,4,0.0,0.48295081967213116,4,2
R68.8,0.6974789915966386,3,35,0.00013129487234433593,0.4630619302106256,35,3
I21.9,0.5131934032983508,3,116,0.00032982630175534616,0.5199435227673844,116,3
I63.9,0.7153846153846154,3,40,3.9997357354014276e-05,0.5025588536335721,40,3
Z01.8,0.43246753246753245,3,56,0.0001710745075412694,0.5054907343857241,56,2
I27.8,0.6476190476190476,3,36,3.4323884307792625e-05,0.4996607869742198,36,3
Z01.9,0.6428571428571429,3,28,1.5346446150607654e-05,0.48342632097144733,28,2
Z03.8,0.35833333333333334,3,16,0.00025553413823713487,0.4861386138613861,16,2
J45.9,0.6058201058201058,3,28,1.9065130307763208e-05,0.4967959527824621,28,2
Q87.0,0.9848484848484849,3,12,7.531903780323887e-08,0.4923128342245989,12,2
I49.4,0.515133705553923,3,83,0.0002693778581023695,0.5103950103950103,83,3
I49.0,0.6537935748462064,3,77,0.0002155658448455261,0.5125260960334029,77,3
I45.3,0.7797979797979798,3,45,1.9151397226016223e-05,0.5010204081632653,45,3
L03.3,1.0,3,8,0.0,0.4901830282861897,8,2
I42.2,0.607563025210084,3,85,0.00014352311316990194,0.5134193098640641,85,3
I25.4,0.5450422593279736,3,99,0.0001746472739705545,0.515034965034965,99,3
I72.1,0.675,3,16,3.256925721071798e-06,0.48953140578265203,16,2
Q67.5,0.6993464052287581,3,18,1.4712684964925297e-05,0.4942953020134228,18,2
Q66.5,1.0,3,4,0.0,0.48216039279869066,4,3
G62.8,0.6666666666666666,3,10,1.1273541539927966e-05,0.4871031746031746,10,2
C91.0,0.7636363636363637,3,11,1.8095142527847928e-06,0.48774834437086095,11,2
Y84.0,0.8181818181818182,3,11,5.1983604705036475e-06,0.4896941489361702,11,2
I28.0,0.7644927536231884,3,24,3.3923279289671564e-06,0.4967959527824621,24,2
G40.9,0.4625,3,65,0.00014717291800036335,0.5100415512465374,65,2
I35.1,0.3504011967904257,3,172,0.0015554536798366634,0.5302375809935205,172,3
I25.9,0.6880570409982175,3,34,1.1085085582579038e-05,0.5017029972752044,34,2
K90.4,0.8928571428571429,3,8,2.524399400825955e-07,0.4896941489361702,8,2
Q31.1,1.0,3,4,0.0,0.48200261780104714,4,2
I33.9,1.0,3,7,0.0,0.4859782250082481,7,2
I34.0,0.2156514882712399,3,267,0.005047546213421989,0.5492170022371364,267,3
B33.2,1.0,3,5,0.0,0.485497692814766,5,2
M71.2,1.0,3,3,0.0,0.48216039279869066,3,2
G91.9,0.8095238095238095,3,7,3.970629871224083e-06,0.4826343381389253,7,3
Q04.2,1.0,3,4,0.0,0.4766990291262136,4,3
Q63.2,0.8,3,10,3.7763327440647025e-07,0.4869421487603306,10,2
I42.8,0.7882882882882883,3,37,7.085511604956969e-05,0.500169779286927,37,3
Q27.0,0.8928571428571429,3,8,9.50660588917429e-08,0.4831092161364382,8,2
I77.1,0.7428571428571429,3,36,8.493613432120516e-06,0.5035897435897436,36,3
R01.0,1.0,3,6,0.0,0.48342632097144733,6,2
I51.7,0.424448419797257,3,130,0.0007413349545460141,0.5225257183398369,130,3
I71.0,0.35745531808523934,3,127,0.001417836567792692,0.5214159292035399,127,3
I74.3,0.5581488933601609,3,71,8.74308700980735e-05,0.5111034004163775,71,3
J94.2,0.6350806451612904,3,32,8.311684357738544e-05,0.5005096839959225,32,2
I80.1,0.5918367346938775,3,50,0.0003606745986019662,0.505664263645726,50,2
P22.0,1.0,3,4,0.0,0.41469594594594594,4,2
Z49.1,0.1500215470803706,3,273,0.006843868820339482,0.5508601346297681,273,3
N18.9,0.0592608445307285,3,627,0.07050263628893307,0.6349137931034483,627,2
D53.9,0.780952380952381,3,15,6.278761890553893e-06,0.49083638787070977,15,3
E43.X,0.46296296296296297,3,28,6.696026724485166e-05,0.497803311929706,28,2
N13.5,0.6923076923076923,3,14,5.675550104211241e-06,0.4914914914914915,14,2
J95.5,0.7111111111111111,3,10,5.849496903797104e-07,0.4845394736842105,10,2
E87.6,0.5290322580645161,3,31,4.5504909888322256e-05,0.498645903859174,31,2
B96.5,1.0,3,4,0.0,0.48216039279869066,4,2
G31.9,0.8571428571428571,3,7,8.453288010115185e-08,0.48662041625371655,7,2
G80.9,1.0,3,4,0.0,0.41202797202797203,4,3
C49.8,0.7,3,5,9.760030918173132e-06,0.4848584595128374,5,2
Z03.1,1.0,3,2,0.0,0.47623666343355964,2,3
J93.1,0.5320456540825286,3,68,0.0001147057323342233,0.5079310344827587,68,3
R00.0,0.683982683982684,3,22,8.048044369093812e-05,0.4949596774193548,22,2
Q82.8,0.9047619047619048,3,7,7.633242378036102e-08,0.4887193098871931,7,2
P27.1,0.9642857142857143,3,8,1.3975762226891246e-08,0.484380138112463,8,2
Q32.3,1.0,3,4,0.0,0.485497692814766,4,2
G90.1,1.0,3,5,0.0,0.48390275952693823,5,2
Z01.0,0.6410256410256411,3,27,1.65267938593352e-05,0.4859782250082481,27,2
I25.8,0.11257193988570964,3,444,0.023790575623943794,0.5884938074310827,444,3
R23.0,0.8214285714285714,3,8,2.9797011092904892e-06,0.48774834437086095,8,2
X70.9,0.9523809523809523,4,7,1.921667306197546e-08,0.3783714359106088,7,3
D82.1,1.0,3,7,0.0,0.4893687707641196,7,2
